sense_id,status_pre_aug,status_post_aug
oewn-aeronautical__3.01.00..,artifact,artifact
oewn-aeronautics__1.09.00..,artifact,artifact
oewn-aerosolized__5.00.00.gaseous.00,artifact,artifact
oewn-aesthetic__3.00.00..,artifact,artifact
oewn-aesthetic__5.00.00.tasteful.02,artifact,artifact
oewn-aesthetically__4.02.00..,artifact,artifact
oewn-affairs__1.09.00..,background,background
oewn-affect__1.12.00..,artifact,artifact
oewn-affect__2.30.00..,artifact,artifact
oewn-affected__3.00.00..,closed,closed
oewn-affected__3.00.02..,artifact,artifact
oewn-affecting__5.00.00.moving.01,background,background
oewn-affectionate__5.00.00.loving.00,artifact,artifact
oewn-affective__5.00.00.emotional.00,closed,closed
oewn-affiliation__1.26.00..,artifact,artifact
oewn-affinity__1.19.02..,graph_data,graph_data
oewn-affirm__2.31.00..,artifact,artifact
oewn-affirm__2.32.00..,artifact,artifact
oewn-affirmation__1.10.00..,artifact,artifact
oewn-affirmation__1.10.01..,artifact,artifact
oewn-affirmative__1.10.00..,artifact,artifact
oewn-affix__1.10.00..,artifact,artifact
oewn-affix__2.35.00..,artifact,artifact
oewn-affixed__3.00.00..,artifact,artifact
oewn-afflicted__5.00.00.ill.01,artifact,artifact
oewn-affliction__1.26.00..,background,background
oewn-affliction__1.26.02..,background,background
oewn-affluent__1.17.00..,background,background
oewn-affluent__1.18.00..,artifact,artifact
oewn-afford__2.34.00..,artifact,artifact
oewn-afraid__5.00.00.concerned.00,artifact,artifact
oewn-african__1.18.00..,artifact,artifact
oewn-african__3.01.00..,artifact,artifact
oewn-after__4.02.01..,closed,closed
oewn-after__5.00.00.aft.00,closed,closed
oewn-afterimage__1.09.00..,artifact,artifact
oewn-afterlife__1.28.00..,artifact,background
oewn-afternoon__1.28.00..,artifact,external
oewn-aftertaste__1.09.00..,artifact,artifact
oewn-again__4.02.00..,closed,closed
oewn-agal__1.06.00..,background,background
oewn-agar__1.27.00..,graph_data,graph_data
oewn-agaric__1.20.02..,artifact,artifact
oewn-agave__1.20.00..,graph_data,graph_data
oewn-aged__1.14.00..,artifact,artifact
oewn-aged__5.00.00.ripe.00,artifact,artifact
oewn-aged__5.00.00.worn.00,artifact,artifact
oewn-aged__5.00.01.old.02,artifact,artifact
oewn-agency__1.14.00..,artifact,artifact
oewn-agenda__1.10.00..,artifact,artifact
oewn-agent__1.17.00..,background,background
oewn-agent__1.18.02..,background,background
oewn-agent__1.18.03..,background,background
oewn-agent__1.27.00..,background,background
oewn-aggregate__1.06.00..,artifact,artifact
oewn-aggregate__1.27.00..,artifact,artifact
oewn-aggregation__1.14.00..,artifact,artifact
oewn-aggression__1.04.02..,artifact,artifact
oewn-aggressive__3.00.00..,artifact,artifact
oewn-aggressive__5.00.00.invasive.00,artifact,artifact
oewn-aggressively__4.02.00..,artifact,artifact
oewn-agile__5.00.00.active.01,artifact,external
oewn-agility__1.07.00..,artifact,artifact
oewn-agitated__3.00.00..,artifact,artifact
oewn-agitating__5.00.00.provocative.00,artifact,artifact
oewn-agitation__1.26.00..,artifact,artifact
oewn-agitation__1.26.01..,artifact,artifact
oewn-agree__2.32.00..,artifact,artifact
oewn-agree__2.32.04..,artifact,artifact
oewn-agreeable__3.00.00..,artifact,artifact
oewn-agreeable__5.00.00.consistent.00,artifact,artifact
oewn-agreeably__4.02.00..,artifact,artifact
oewn-agreed__5.00.00.united.00,background,background
oewn-agreement__1.09.00..,artifact,artifact
oewn-agreement__1.10.00..,artifact,artifact
oewn-agreement__1.10.01..,artifact,artifact
oewn-agreement__1.24.03..,artifact,artifact
oewn-agreement__1.26.01..,artifact,artifact
oewn-agriculture__1.04.00..,artifact,artifact
oewn-agriculture__1.04.01..,artifact,artifact
oewn-ahead__4.02.00..,closed,closed
oewn-ahead__4.02.01..,artifact,artifact
oewn-ahead__5.00.00.up.00,artifact,artifact
oewn-ahem__1.10.00..,artifact,artifact
oewn-aided__3.00.00..,artifact,background
oewn-aimless__5.00.00.purposeless.00,background,background
oewn-aimlessly__4.02.00..,artifact,artifact
oewn-airborne__5.00.00.mobile.00,artifact,background
oewn-aircraft__1.06.00..,background,background
oewn-airfield__1.06.00..,artifact,artifact
oewn-airfoil__1.06.00..,artifact,artifact
oewn-airlift__1.04.00..,artifact,artifact
oewn-airliner__1.06.00..,artifact,artifact
oewn-airplane__1.06.00..,artifact,artifact
oewn-airport__1.06.00..,closed,closed
oewn-airship__1.06.00..,artifact,artifact
oewn-airtight__5.00.00.invulnerable.00,artifact,artifact
oewn-aisle__1.06.03..,artifact,artifact
oewn-alarmed__5.00.00.afraid.00,artifact,background
oewn-albuginea__1.08.00..,artifact,artifact
oewn-alchemist__1.18.00..,graph_data,graph_data
oewn-alchemy__1.24.00..,artifact,artifact
oewn-alcohol__1.13.00..,background,background
oewn-alcohol__1.27.00..,background,background
oewn-alcoholic__1.18.00..,artifact,artifact
oewn-alcoholic__5.00.00.addicted.00,artifact,artifact
oewn-alert__1.26.00..,artifact,artifact
oewn-alert__2.32.00..,artifact,artifact
oewn-alertness__1.09.00..,artifact,artifact
oewn-alfalfa__1.20.00..,artifact,artifact
oewn-algae__1.05.00..,graph_data,graph_data
oewn-algonquian__1.10.00..,background,background
oewn-algonquian__1.18.00..,artifact,artifact
oewn-aligned__3.00.01..,graph_data,graph_data
oewn-alignment__1.07.00..,artifact,artifact
oewn-alike__3.00.00..,closed,closed
oewn-alive__3.00.01..,artifact,background
oewn-alkahest__1.27.00..,artifact,artifact
oewn-alkaline__3.00.00..,artifact,artifact
oewn-alkalinity__1.07.00..,artifact,artifact
oewn-alkaptonuria__1.26.00..,background,background
oewn-alleged__5.00.00.declared.00,artifact,artifact
oewn-allegiance__1.04.00..,artifact,external
oewn-allergen__1.27.00..,background,background
oewn-allergenic__3.01.00..,artifact,artifact
oewn-allergic__3.01.00..,artifact,artifact
oewn-allergy__1.26.00..,artifact,artifact
oewn-alleviate__2.29.00..,artifact,artifact
oewn-alleviation__1.12.00..,artifact,artifact
oewn-alley__1.06.01..,artifact,artifact
oewn-alliance__1.04.00..,background,background
oewn-alliance__1.10.00..,background,background
oewn-alliance__1.14.00..,background,background
oewn-alliance__1.26.00..,background,background
oewn-allied__3.01.02..,artifact,artifact
oewn-allies__1.14.00..,artifact,artifact
oewn-allies__1.14.01..,artifact,artifact
oewn-allies__1.14.02..,artifact,artifact
oewn-allocate__2.40.00..,artifact,artifact
oewn-allotment__1.21.00..,artifact,artifact
oewn-allotropic__3.01.00..,artifact,artifact
oewn-allow__2.32.06..,artifact,artifact
oewn-allow__2.41.00..,artifact,artifact
oewn-allow__2.42.00..,artifact,artifact
oewn-alloy__1.27.00..,artifact,artifact
oewn-allspice__1.13.00..,background,background
oewn-allspice__1.20.00..,background,background
oewn-allure__1.07.00..,artifact,artifact
oewn-alluvial__3.01.00..,artifact,artifact
oewn-alluvium__1.17.00..,artifact,artifact
oewn-alms__1.04.00..,artifact,artifact
oewn-aloha__1.10.00..,background,background
oewn-alone__4.02.00..,background,background
oewn-along__4.02.01..,closed,closed
oewn-along__4.02.03..,closed,closed
oewn-along__4.02.04..,closed,closed
oewn-alongside__4.02.00..,artifact,background
oewn-aloud__4.02.00..,artifact,artifact
oewn-alpha__1.10.00..,artifact,artifact
oewn-alphabet__1.10.00..,artifact,artifact
oewn-alphabetical__3.01.00..,artifact,artifact
oewn-already__4.02.00..,background,background
