lemma,surface_word,seed_node_count,source_node_ids,parts_of_speech,max_degree_score,best_frequency,earliest_age_of_acquisition,mean_concreteness
running,running,1,running::n,n,116,5.197899686899697,,4.27
living,living,2,living::a;living::n,a;n,621,5.194054670423775,,3.04
food,food,1,food::n,n,785,5.188194987613777,3.25,4.8
hair,hair,1,hair::n,n,392,5.185706820939542,3.17,4.97
promise,promise,1,promise::v,v,11,5.18448517602176,5.67,2.09
sex,sex,1,sex::n,n,122,5.181807780548456,9.79,4.1
music,music,1,music::n,n,386,5.180294460179846,3.81,4.31
power,power,2,power::n;power::v,n;v,415,5.172704874676883,7.48,2.04
special,special,2,special::a;special::n,a;n,188,5.171388743083434,5.0,1.76
team,team,1,team::v,v,6,5.168571439285124,6.0,3.79
playing,playing,1,playing::n,n,163,5.167820913572948,,
sweet,sweet,1,sweet::r,r,9,5.161417849857884,4.53,4.0
coffee,coffee,1,coffee::n,n,85,5.159419468691496,4.94,4.81
sound,sound,1,sound::n,n,430,5.1559890981464855,3.72,3.7
date,date,1,date::v,v,16,5.1503111839578,5.84,3.9
air,air,2,air::n;air::v,n;v,351,5.142541627518997,3.94,4.11
taken,taken,1,taken::a,a,297,5.141376394149477,,2.66
lord,lord,1,lord::v,v,3,5.139838413641728,5.95,3.04
catch,catch,1,catch::v,v,33,5.131437871615297,4.61,4.11
top,top,1,top::a,a,18,5.12472608690425,3.89,3.93
meeting,meeting,1,meeting::n,n,83,5.121330891864643,5.72,3.31
control,control,1,control::v,v,50,5.1155039554125965,7.26,1.93
cold,cold,1,cold::a,a,30,5.11393681079138,3.95,3.85
small,small,2,small::a;small::n,a;n,4881,5.096246201282174,3.22,3.22
human,human,1,human::n,n,423,5.095564313119004,4.83,4.93
piece,piece,1,piece::n,n,326,5.0946078674364355,4.89,4.14
known,known,1,known::a,a,655,5.0912436217595864,,1.83
words,words,1,words::n,n,364,5.085903726126093,,
clean,clean,1,clean::a,a,18,5.083103623054729,3.89,3.07
evening,evening,1,evening::n,n,61,5.081132753303901,5.84,3.26
felt,felt,1,felt::v,v,10,5.078017487712094,6.104490000000001,3.04
step,step,1,step::v,v,6,5.073804816057012,4.11,4.54
quiet,quiet,2,quiet::r;quiet::v,r;v,14,5.068462695564611,4.15,2.76
law,law,1,law::n,n,502,5.065108490481913,8.33,2.57
general,general,2,general::n;general::v,n;v,359,5.061654399908052,8.05,1.62
less,less,2,less::a;less::r,a;r,56,5.045187354785956,,2.77
loved,loved,1,loved::a,a,37,5.042188230907168,,
giving,giving,2,giving::a;giving::n,a;n,127,5.04110655044288,,2.15
worth,worth,1,worth::n,n,79,5.037689337318189,7.084934000000001,1.89
act,act,2,act::n;act::v,n;v,1446,5.0373773441424845,6.42,2.46
quick,quick,1,quick::n,n,49,5.035579020736922,5.89,2.89
early,early,1,early::r,r,4,5.033064553169931,5.3052150000000005,2.25
busy,busy,1,busy::v,v,4,5.026953776226332,5.95,2.41
ball,ball,2,ball::n;ball::v,n;v,211,5.020512508995374,2.9,5.0
major,major,1,major::n,n,317,5.019700591611949,8.8,2.16
mouth,mouth,1,mouth::n,n,283,5.018235304247382,3.58,4.74
future,future,1,future::n,n,102,5.014385804145419,7.16,1.86
paper,paper,2,paper::n;paper::v,n;v,271,5.013809543730414,4.0,4.93
officer,officer,1,officer::v,v,4,5.013314996914509,6.5,4.8
agent,agent,1,agent::n,n,206,5.010833780023178,9.55,3.61
blue,blue,3,blue::a;blue::n;blue::v,a;n;v,298,5.009754167981454,3.53,3.76
court,court,1,court::n,n,227,5.002628242074787,8.39,4.31
